"name";"id"
"PRAWNS AND SHRIMPS";"0"
"BENTHOS (MICRO MEIO AND MACRO)";"1"
"ZOOPLANKTON HERBIVORES";"2"
"FISH HERBIVORES";"3"
"OTHER CARNIVORES";"4"
"FISH CARNIVORES";"5"
"MAN";"6"
"BALANUS BALANOIDES";"7"
"MYTILUS EDULIS";"8"
"THAIS LAPILLUS";"9"
"HOPPERS - ANTS - TERMITES - BEETLES";"10"
"GERBILS - HARES";"11"
"ANTELOPES - GAZELLE - BACKBUCK - NILGAI";"12"
"DOVES - LARKS - SANDGROUSE";"13"
"VULTURES - CROWS";"14"
"SPIDERS - WASPS - TIGER BEETLES - CARPENTER ANTS";"15"
"RODENTS";"16"
"PARTRIDGE - PEAFOWL - BABBLER";"17"
"SNAKES - VARANIDS";"18"
"JACKAL CANIS AUREAUS";"19"
"HEDGEHOG";"20"
"BULTUL - SHRIKE - INDIAN ROBIN";"21"
"DESERT CAT FELIS LIBYCA";"22"
"FOX VULPES VULPES";"23"
"SHIKRA";"24"
"WOLF CANIS LUPUS";"25"
"STRAY DOG CANIS FAMILIARIS";"26"
"HETEROCYPRIS - HERPETOCYPRIS";"27"
"CHIRONOMUS - ANOPHELES - CULEX - THEOBALDIA";"28"
"SIGARA - HALIPLUS";"29"
"MELADEMA - GRAPTODYTES - BIDESSUS - NOTONECTA";"30"
"BACTERIA";"31"
"PROTOZOA";"32"
"NAUPLII - SMALL SIZED EUPHAUSIACEA - MYSIDACEA - HYPERIIDEA - OSTRACODA";"33"
"LARGE SIZED EUPHAUSIACEA - MYSIDACEA - HYPERIIDEA - OSTRACODA";"34"
"CYCLOPOIDA";"35"
"CARNIVOROUS CALANOIDA";"36"
"CHAETOGNATHA - POLYCHAETA";"37"
"LARGE-SIZE APPENDICULARIA";"38"
"NAUPLII OF COPEPODA";"39"
"SMALL-SIZE APPENDICULARIA";"40"
"INFUSORIA";"41"
"RADIOLARIA";"42"
"COPEPODITES";"43"
"SMALL-SIZE 'CALANUS TYPE'";"44"
"SMALL-SIZE 'ACARTIA TYPE'";"45"
"SMALL-SIZE 'OITHONA-ONCAEA TYPE'";"46"
"LARGE-SIZE 'OITHONA-ONCAEA TYPE'";"47"
"LARGE-SIZE 'ACARTIA TYPE'";"48"
"LARGE-SIZE 'CALANUS TYPE'";"49"
"'EUCHAETA TYPE'";"50"
"'CENTROPAGES TYPE'";"51"
"'AMPHIPODA TYPE'";"52"
"'EUPHAUSIA TYPE'";"53"
"CHAETOGNATHA";"54"
