,species,betweenness
0,DETRITUS,1475059.0819866564
1,MAN,627167.3137387806
2,BIRDS,463982.7696234145
3,ZOOPLANKTON,335915.0231048119
4,PHYTOPLANKTON,331195.5318386591
5,BACTERIA,241025.22653343063
6,SEALS,189800.4411933879
7,PREDATORY FISHES,188110.59639670275
8,PISCIVOROUS FISH,179682.797170538
9,HALIPEGUS SP. (METACERCARIAE OR MESOCERCARIAE),178769.9844697834
10,TERRESTRIAL INVERTEBRATES,141350.61298663873
11,FISH,141195.34762978574
12,PTEROPODS,137753.71637671333
13,BENTHOS-EATING FISH,130058.73368519738
14,SEDENTARY POLYCHAETA,109918.29076306704
15,RANA PIPIENS,109055.54916530961
16,TURBELLARIA,102909.19066748241
17,POLYCHAETES,95100.02619891553
18,SPIDERS,92992.5887051391
19,BALEEN WHALES,72572.13082452747
20,DIATOMS,70276.88842928832
21,SHARKS,69789.84723152849
22,MEIOFAUNA,68377.47826842916
23,FISH LARVAE,61993.91888780136
24,ANAX JUNIUS (LARVAE),61696.16451340018
25,OLIGOCHAETA,56264.86526203682
26,TRAMEA SP. (LARVAE),53542.81306981656
27,CRANGON CRANGON,52442.81675593252
28,AMPHIPODS,49423.02828521194
29,EUPHAUSIA SUPERBA,46337.94055141947
30,OECETIS,43775.75680354937
31,DETRITUS WITH DECOMPOSERS,41446.51615667922
32,CILIATA MUSTELA,38906.83579941738
33,INSECTS,36321.54798066291
34,COPEPODS,34285.959917789856
35,CARCINUS MAENAS,31479.658705249636
36,VORTICELLA,30636.903403984084
37,CHIRONOMID LARVAE,29539.298683743014
38,REDFISH,28923.528039374796
39,CHRYSOMONADS,27912.37971061028
40,DIPTERA,27760.32796970105
41,CARNIVOROUS DIPTERA,27621.955468551037
42,TROUT,27280.73304105124
43,ANTS,26616.150251520754
44,RANA DRAYTONII (ADULT),26326.273696637538
45,ROTIFERS,25959.189606312186
46,SALMO TRUTTA,25063.741201242574
47,TERRESTRIAL INSECTS,24904.398913458503
48,GOMPHUS,24396.645944741515
49,ELECTRONA ANTARCTICA,24283.004813571297
50,ANCHOVY,23821.986982802897
51,YOUNG FISH,23635.30304303542
52,SHRIMPS,23548.83738557739
53,TRIGLA LUCERNA,22909.44606987863
54,ECHINOSTOMA TRIVOLVIS (ADULT),22186.666666666657
55,PIRARA,22101.162440088225
56,DELEATIDIUM SPP.,21817.11221754697
57,CONGER CONGER,21800.20953844259
58,LANTERNFISH,20177.887787095493
59,CILIATES,19967.305648761092
60,CARCINUS,19324.295403306372
61,FISHES,19285.944700854696
62,SMALL FISH,18494.014519130713
63,DIAPTOMUS,18350.275037493408
64,BIVALVES,17775.43265553248
65,SQUID,17698.107401397425
66,BENTHIC CARNIVORES,17151.377089052363
67,AUSTROSIMULIUM AUSTRALENSE,17060.145446324826
68,COLLEMBOLA,16450.36259178132
69,FUNGI,16254.698845598836
70,OSTRACODS,15897.109857329966
71,LESTES SP. (LARVAE),15416.619970138621
72,LOLIGO,15037.694248993123
73,BARNACLES,14831.679550293744
74,ISOPODS,14002.892249182138
75,COENAGRION SP. (LARVAE),13743.436603019845
76,CYCLOPOID COPEPODS,12758.93952742281
77,MITES,12708.706338445189
