,species,page_rank
0,FLETCHERIMYIA FLETCHERI,34.576522980251944
1,SALMO TRUTTA,24.890502603061492
2,DIPHYLLOBOTHRIUM DENDRITICUM ,17.080632726258404
3,DYTISCUS MARGINALIS L.,16.817178546359568
4,UMBRA LIMI,14.60892267784611
5,SCHISTOCEPHALUS SOLIDUS ,12.70147314008766
6,SB3: GULLS & TERNS,11.538970023229965
7,DIPHYLLOBOTHRIUM DITREMUM ,11.149231288173096
8,HIRUD - TRICLADIDA - HYDRACHN,10.34814979824519
9,ARIIDS,10.241994785263577
10,BIRDS,9.34130836470301
11,MAN,8.742615540089973
12,BACTERIA,7.794474190739932
13,PARANEPHROPS ZEALANDICUS (WHITE),7.301904765646966
14,DYTISCUS,7.027764087915669
15,BUTEO JAMAICENSIS,7.008130761988454
16,HYDROPHILUS,6.980645876997203
17,GROUP 1,6.583413945289255
18,GAVIA ARCTICA,6.47759741242286
19,GAVIA STELLATA,6.47759741242286
20,SALVELINUS ALPINUS,5.960847253682965
21,MICROPTERUS SALMOIDES,5.911941616091877
22,ARDEA HERODIAS,5.894089438809729
23,LECHRIODUS FLETCHERI (LEPTODACTYLIDAE),5.8836147451963745
24,SALVELINUS FONTINALIS,5.833340898754284
25,GROUP 2,5.535387895744262
26,SHARKS,5.513204690368607
27,OTHER PISCIVORES,5.4636118306751955
28,GRAPHODERUS,5.45473678692611
29,BELOSTOMA,5.360061751238993
30,GASTEROSTEUS ACULEATUS,5.3044243551102275
31,LETHOCERUS,5.226849822089578
32,PARANEPHROPS ZEALANDICUS,5.065983572681597
33,SERRASALMUS MARGINATUS,4.881684763798813
34,ACILIUS,4.820965692317384
35,PSEUDOPLATYSTOMA CORRUSCANS,4.646205205034028
36,ACANTHOCYCLOPS GIGAS,4.580564259324189
37,CANIS LATRANS,4.417312822329211
38,PROTEOCEPHALUS SP. ,4.294815205037924
39,PLAGIOSCION SQUAMOSISSIMUS,4.184899251293625
40,CORDULIA,4.168384620368639
41,DOROCORDULIA,4.168384620368639
42,CYCLOPS SCUTIFER,4.124302268624515
43,HETEROCOPE APPENDICULATA,4.107302268624515
44,ALARIA SP. (ADULT),3.888530629637402
45,EUDIAPTOMUS GRACILOIDES,3.8451021405759773
46,LARUS CANUS,3.8410621847576865
47,MERGUS SERRATOR,3.8410621847576865
48,STERNA PARADISAEA,3.8410621847576865
49,CINCLUS MEXICANUS,3.8249018889154596
50,AESHNA,3.8005415139444634
51,PHYLLOBAENUS ATRIPLEXUS,3.792920748186384
52,ECHINOSTOMA SP. (ADULT),3.7771501693199965
53,ECHINOSTOMA TRIVOLVIS (ADULT),3.7771501693199965
54,RIBEIROIA ONDATRAE (ADULT),3.7771501693199965
55,EUBOTHRIUM CRASSUM ,3.745751474766588
56,LIBELLULA,3.728574829767934
57,CLANGULA HYEMALIS,3.723884328157776
58,SALMO TRUTTA (N=10),3.723138220459291
59,SERRASALMUS SPILOPLEURA,3.686891438218605
60,DETRITUS,3.4319101595452524
61,RAYS,3.3860096474421497
62,SALVELINUS MALMA,3.3821713572554355
63,SAPROLEGNIA,3.367769718200166
64,CROAKERS,3.2842426896555668
65,AYTHYA FULIGULA,3.259949604398636
66,BUCEPHALA CLANGULA,3.259949604398636
67,MELANITTA NIGRA,3.259949604398636
68,HOPLIAS MALABARICUS,3.234634287876432
69,RHAPHIODON VULPINUS,3.2201881383021687
70,RANA DRAYTONII (ADULT),3.1730061242028613
71,MAMMALS,3.1219992039254194
72,O. ORCA,3.100453980581099
73,SWAINSON'S HAWK,3.0722064229913237
74,SEALS,3.0351044878756954
75,AESHNA JUNCEA (L.),2.933661329230013
76,COD,2.794417599773085
77,GALAXIAS OLIDUS (PISCES - GALAXIDAE),2.766673702324041
78,DEMERSAL PISCIVORES,2.7612123025297337
79,RED HAKE,2.7500519794918024
80,WHITE HAKE,2.748384527779546
81,SPOTTED HAKE,2.7446569447838445
82,SILVER HAKE,2.6789284713464045
83,SOMATOCHLORA,2.6459099691943515
84,SNOOKS,2.6377634388724256
85,FISH (UNSPECIFIED),2.611630171401325
86,CATFISH,2.580948878380494
87,CHRYSEMIS,2.5566565281865263
88,CHAOBORUS PUNCTIPENNIS,2.5330279461064547
89,SINEA COMPLEXA,2.513761997047204
90,CONDRICHTIS,2.4907627918658646
91,NEW GENUS ENTEDONINAE,2.4655233199447615
92,PISCMM4: TOOTHED WHALES,2.465109952394719
93,CARCINUS MAENAS,2.448457659563055
94,HERRING,2.4209458323160216
95,FULICA AMERICANA,2.4109711461754726
96,SAND LANCE,2.4006463551059625
97,PIKE,2.386541230758085
98,PIKE - ADULT YELLOW PERCH (PERCA),2.3805813062938683
99,SPINY DOGFISH,2.3754440025279338
100,EUPELMUS UROZONUS,2.371501953705096
101,DOGFISH (DEMERSAL SHARK),2.3661960952989167
102,GOBIOMORPHUS BREVICEPS,2.3552278960503306
103,SAURIANS (UNSPEC.),2.350399553571428
104,HELOPHORUS,2.338414123065367
105,CRANGON CRANGON,2.3032600347464145
106,MACKEREL,2.299397738734588
107,HADDOCK,2.277611357050224
108,HYDROBIOSIS PARUMBRIPENNIS,2.2682058489760664
109,STILLINGIA LINEATA SSP LINEATA,2.242956359212737
110,13,2.2407717173804396
111,ALEOCHARA SP.,2.2381563339189765
112,CARNIVOROUS FISHES,2.2316283990547685
113,GOOSEFISH,2.2272616708172577
114,NEEDLEFISH,2.223788093803308
115,HEMISORUBIN PLATYRHYNCHOS,2.205955264185519
116,MOCHLONYX,2.204597335248536
117,CILIATA MUSTELA,2.1984546289944373
118,BENTHOPELAGIC CEPHALOPODS,2.194288305217154
119,INSECTIVOROUS BIRDS & BATS (UNSPEC.),2.191180353131969
120,ALEWIFE,2.158693664708849
121,GREAT HORNED OWL,2.096133566064381
122,SEABIRDS,2.09196519644853
123,PISCIVOROUS FISH,2.0915350094398035
124,SPANGLED PERCH,2.088809523809524
125,BLUEFISH,2.0754278189655637
126,BUTTERFISH,2.074408452013821
127,PSAMMOCHARES FUSCUS,2.0741985234375
128,CENTROPOMIDS,2.067752628043614
129,LITTLE SKATE,2.0457294931629932
130,LOLIGO,2.044728133573414
131,HARVESTER ANT,2.0426160714285713
132,ADULT HAKE,2.025738675966687
133,ARCTIC FOX,2.0134753147272457
134,POLLOCK,2.013247965148815
135,WINTER SKATE,2.0127064719088175
136,CAYMANS,2.0053612549770197
137,ILLEX,2.0018344565322534
138,SALMINUS BRASILIENSIS,1.9946278044736492
139,STENOPERLA PRASINIA,1.993551366811621
140,GALELD,1.9913260258113599
141,SMOOTH DOGFISH,1.984627970311919
142,TURBELLARIA,1.9843812698840997
143,"S. FONTINALIS (12-20"")",1.9733191872801854
144,GALAXIAS SP. ,1.9642507447940085
145,KESTREL,1.9540323480235957
146,TARICHA TOROSA (ADULT),1.95206783215471
147,LETHOCERUS AMERICANUS (ADULT),1.9403585343344674
148,THORNY SKATE,1.9281173893311099
149,LETHOCERUS AMERICANUS (LARVAE),1.9174412397866851
150,PORPOISE SHARK,1.885530785698314
151,SIALIS - ODO - MOLA - POLYCEN,1.8636721630573996
152,LEUCCORHINIA,1.8451034421596773
153,SYMPETRUM,1.8451034421596773
154,SNAPPERS,1.8366927250816103
155,INSECTIVOROUS BIRDS (PURPLE SANDPIPER - SNOW BUNTING (JUV.)),1.8271970333035716
156,HYDROPHILUS SP. (ADULT),1.8250494324345645
157,COMINELLA,1.8203273289479807
158,PLECTROCNEMIA CONSPERSA,1.817171957865076
159,ISOPERLA,1.8103787962431759
160,OTHER DECAPODS,1.8006095498251384
161,RAPTORS,1.798429812168874
162,EUROPEAN CARP,1.7899016985515244
163,EUPHASIIDS,1.777026313141555
164,ANAXYRUS BOREAS (ADULT),1.741581487626889
165,TARICHA TOROSA (LARVAE),1.7332481000826936
166,CRANGON SP.,1.7326382382951029
167,COSTACHOREMA XANTHOPTERA,1.7297489365158563
168,ANAX JUNIUS (LARVAE),1.7050067441687873
